Name_English,Name_Wylie_Tibetan,Name_Tibetan,Name_Chinese,Dates,Position_Date,Img_Subtext,Description_English,Description_Tibetan,Description_Chinese,Transmission_Mode,Lineage,Taught,Taught_Familial_Related,Reincarnated_As,Family_Relationship,Emanated as,Links_Names,Links_URLs,Notes
Samantabhadra / Samantabhadrī,Kun tu bzang po/Kun tu bzang mo,ཀུན་ཏུ་བཟང་པོ་དང་ཀུན་ཏུ་བཟང་མོ།,,Beyond time,0,,"""In the first case–the mind-to-mind transmission by victorious ones–our teacher, the glorious Samantabhadra, awakened to true enlightenment in primordial basic space, the ground of being. Samantabhadra’s mode is that of abiding without wavering from the enlightened intent that constitutes the kāyas and timeless awareness, which never come together and then separate. Within the scope of inner lucidity, or dharmakāya, omniscient timeless awareness is itself utterly lucid, because its three aspects–essence, nature, and responsiveness–are indwelling as the three kāyas of basic space. Within that context, the excellent environment is the pure realm of dharmakāya, where the excellent teacher is Samantabhadra; the excellent retinue is a vast assembly of aspects of timeless awareness; the excellent occasion is the duration of the nature of phenomena, the nature that is without transition or change; and the excellent teaching is that of utter lucidity within the realm of natural spontaneous presence"" (NK_Eng_31).",དང་པོ་རྒྱལ་བ་དགོངས་པའི་བརྒྱུད་པ་[113]ནི། བདག་ཅག་གི་སྟོན་པ་དཔལ་ཀུན་ཏུ་བཟང་པོ་ཉིད་གཞི་གདོད་མའི་དབྱིངས་སུ་མངོན་པར་བྱང་ཆུབ་སྟེ། སྐུ་དང་ཡེ་ཤེས་འདུ་འབྲལ་མེད་པའི་དགོངས་པ་ལས་མ་གཡོས་པར་བཞུགས་པའི་ཚུལ་ལ། ནང་གསལ་ཆོས་སྐུའི་གནས་སྐབས་ན་ངོ་བོ་རང་བཞིན་ཐུགས་རྗེ་གསུམ་དབྱིངས་ཀྱི་སྐུ་གསུམ་དུ་གནས་པའི་རྣམ་པ་ཡུལ་ལ་མི་སྤྱོད་པའི་ཕྱིར་ཐམས་ཅད་མཁྱེན་པའི་ཡེ་ཤེས་ངང་གིས་འོད་གསལ་བའོ༎ དེའི་ཚེ་གནས་ཕུན་སུམ་ཚོགས་པ་སྟོན་པ་འཇམ་དཔལ་འཇིགས་སྐྱོབ་ལན་མོ༎ སྟོན་པ་གཞོན་ནུ་རྣམ་རོལ་ལ་ན་མོ༎ [114] ཆོས་སྐུའི་ཞིང་ན།སྟོན་པ་ཕུན་སུམ་ཚོགས་པ་ཀུན་ཏུ་བཟང་པོ།འཁོར་ཕུན་སུམ་ཚོགས་པ་ཡེ་ཤེས་རྒྱ་མཚོ་ལ།དུས་ཕུན་སུམ་ཚོགས་པ་ཆོས་ཉིད་འཕོ་འགྱུར་མེད་པའི་ཚེ།ཆོས་ཕུན་སུམ་ཚོགས་པ་རང་བཞིན་རྫོགས་པ་ཆེན་པོ་རང་ཆས་ལྷུན་གྱིས་གྲུབ་པའི་ངང་དུ་འོད་གསལ་བའོ༎ (NK_Tib_112-114),,Mind to Mind,All lineages,Buddhas of the Five Families,,,,,,,
Buddhas of the Five Families,rgyal ba rigs lnga,རྒྱལ་བ་རིགས་ལྔ།,,N/A,75,,"“Without wavering from that sphere [of timeless awareness], manifestation occurs naturally as sambhogakāya. Due to this aspect of natural manifestation, the blissful pure realm is the dense array of total purity, in which everything comes about from the natural inner glow of the five aspects of timeless awareness, without any of the ordinary spatial dimensions of up or down, of primary or secondary directions. The buddhas of the five families manifest within an elegant array of precious mansions of light, surrounded by hosts of their respective mandalas, hundreds of thousands in number and beyond description. There is no duality of someone to be guided and someone else who guides, but rather a naturally occurring quality of mastery over the spontaneous presence of naturally manifest appearances. It is from this manifest aspect that an inconceivable number of the buddhas of the five families emanate. All apparent phenomena, moreover, are elegantly arrayed like a field of fine silk brocade and radiate light of the five colors; this takes place naturally as rays of light emanating without limit from six syllables within the mandalas of the buddhas’ mouths and tongues. Within this context, the excellent environment is the dense array of total purity, where the excellent teachers are the buddhas of the five families; the excellent retinue is that of the immeasurable mandalas of buddhas that surround them; the excellent teaching is that of the enlightened intent of utterly lucid timeless awareness; and the excellent occasion is the duration of the inconceivable nature of phenomena. As a natural attribute of being, the enlightened intent of utter lucidity is revealed in a way that defies description. Under the foregoing circumstances, nirmāṇakāya forms then become apparent. Appearing according to the acumen of those to be guided, these forms are radiant and naturally manifest, like a reflection of the moon in water. Due to the force of confusion present in the six distinct classes of beings–above, below, in different directions–ordinary beings fixate on the confusing appearances in their minds and therefore perceive their individual environments and the manifold appearances of joy and sorrow. Within that sphere, individual buddhas of the five families manifest as naturally occurring emanations in realms throughout the ten directions, ensuring benefit for bodhisattvas who have attained the first to the tenth levels of realization. And countless transcendent and accomplished conquerors turn the wheel of spiritual teachings among the six classes of beings, ensuring benefit for those in such states.” (NK_Eng_31-32).",[114] དེ་ནས་དེ་ཉིད་ཀྱི་ངང་ལས་མ་གཡོས་བཞིན་དུ་རང་སྣང་ལོངས་སྤྱོད་རྫོགས་པའི་སྐུར་རང་བྱུང་བ་ནི༎ རང་བཞིན་གྱི་སྣང་ཆ་ལས་རྣམ་དག་སྡུག་པོ་བཀོད་པ་བདེ་བའི་ཞིང་ཐམས་ཅད་ཀྱང་ཡེ་ཤེས་ལྔའི་རང་མདངས་ལས་བྱུང་བ །སྟེང་དང་འོག་དང་ཕྱོགས་མཚམས་མ་ཡིན་ཞིང་། འོད་ཁྱིམ་རིན་པོ་ཆེའི་ཁང་བུ་བཀོད་ལེགས་པ་ན། རིགས་ལྔའི་སངས་རྒྱས་སོ་སོའི་དཀྱིལ་འཁོར་གྱི་ཚོམ་བུ་འབུམ་ཕྲག་བརྗོད་ལས་འདས་པས་བསྐོར་བ་རྟུམས་ཀྱང་། གདུལ་བྱ་དང་འདུལ་བྱེད་མ་ཡིན་ཞིང་རང་སྣང་ལྷུན་གྱིས་གྲུབ་པའི་མངའ་དབང་དུ་རང་བྱུང་བའོ༎ དེ་ཉིད་ཀྱི་སྣང་ཆ་ལས་རིགས་ལྔའི་སངས་རྒྱས་གྲངས་མེད་བསམ་གྱིས་མི་ཁྱབ་པ་འཕྲོ་ཞིང་སྣང་བ་ཐམས་ཅད་ཀྱང་། ཟ་འོག་གི་བེར་ཁྱིམ་བཀྲ་བ་ལྟུར་བཀོད་ལེགས་ཤེང་ཁ་དོག་ལྔར་འོད་འབར་བ་ནི། ཞལ་དང་ལྗགས་ཀྱི་དཀྱིལ་འཁོར་འས་ཡི་གེ་དྲུག་གི་འོད་ཟེར་[115]མུ་མེད་པར་འཕྲོ་བ་ལས་རང་བྱུང་བའོ༎ དེའི་ཚེ་གནས་ཕུན་སུམ་ཚོགས་པ་རྣམ་དག་སྟུག་པོ་བཀོད་པར། སྟོན་པ་ཕུན་གསུམ་ཚོགས་པ་རིགས་ལྔའི་སངས་རྒྱས། འཁོར་ཕུན་སུམ་ཚོགས་པ་སངས་རྒྱས་ཀྱི་དཀྱིལ་འཁོར་ཚད་མེད་པས་བསྐོར་བ་ལ། ཆོས་ཕུན་སུམ་ཚོགས་པ་ཡེ་ཤེས་འོད་གསལ་བའི་དགོངས་པ། དུས་ཕུན་སུམ་ཚོགས་པ་ཆོས་ཉིད་བསམ་གྱིས་མི་ཁྱབ་པའི་ཚེ་རང་ཆས་སུ་ངང་གིས་འོད་གསལ་བའི་དགོངས་པ་རང་བཞིན་[116]བརྗོད་དུ་མེད་པར་སྟོན་ཏོ༎ དེ་ཉིད་ཀྱི་ངང་ལས་སྤྲུལ་པའི་སྐུ་མངོན་པར་འཕྲོ་བ་ནི། གདུལ་བྱའི་དབང་ལས་འོད་འཕྲོ་བ་རང་སྣང་བ་ཆུའི་ཟླ་བ་ལྟ་བུ་སྟེ། འདིའི་དུས་སུ་སྟེང་འོག་ཕྱོགས་མཚམས་ཀྱི་འགྲོ་བ་དྲུག་སོ་སོར་འཁྲུལ་པའི་དབང་གིས་རང་གི་གནས་དང་བདེ་སྡུག་གི་སྣང་བ་དུ་མ་ལ་སྤྱོད་པས། སེམས་ཀྱི་འཁྲུལ་སྣུང་ལ་ཞེན་པའི་ཚེ། ས་དང་པོ་ནས་ས་བཅུ་པའི་བར་གྱི་སེམས་དཔའ་རྣམས་ལ། ཕྱོགས་བཅུའི་ཞིང་དུ་རང་བཞིན་སྤྲུལ་པའི་རིགས་ལྔ་སོ་སོར་སྣང་བས་དོན་མཛད་ཅིང་། འགྲོ་བ་དྲུག་གི་གནས་སུ་ཐུབ་པ་བཅོམ་ལྡན་འདས་གྲངས་མེད་པས་ཆོས་ཀྱི་འཁོར་ལོ་བསྐོར་ཞིང་དོན་མཛད་པ་ལས། (NK_Tib_114-16),,Mind to Mind,All lineages,Supreme Emanation Blessing;Sublime Wisdom Emanation (Vajradhara),,,,,,,
Supreme Emanation Blessing,byin brlabs mchog gi sprul pa,བྱིན་བརླབས་མཆོག་གི་སྤྲུལ་པ།,,N/A,150,,"""The way the that emanations appeared in the world of sorrow (our world): From the naturally manifest realm of the dense array of spontaneous presence appeared the two main kinds of emanations: Supreme Emanation Blessing and Supreme Wisdom Emanation. With regard to the latter, there were three ways in which sublime emanations came about through blessings.""",མི་མཇེད་འདིར་སྤྲུལ་པའི་འཕྲོ་ཚུལ་ནི། དེ་ལྟར་རང་སྣང་ལྷུན་སྟུག་པོ་བཀོད་པའི་ཞིང་ནས་སྤྲུལ་པ་ཆེན་པོ་གཉིས་སྣང་བ་ལས། བྱིན་རླབས་མཆོག་གི་སྤྲུལ་པ་དང་ཡེ་ཤེས་དམ་པའི་སྤྲུལ་པ་གཉིས་ནས། བྱིན་རླབས་མཆོག་གི་སྤྲུལ་པ་ནི་གསུམ་སྟེ། (NK_Tib_116),,Mind to Mind,All lineages,Statue;Only Child of the Buddha;Vajra,,,,,,,
Statue,sku gzugs,སྐུ་གཟུགས།,,N/A,225,,"From some 101 types of precious jewels appeared naturally manifest forms that were equal in physical appearance and life span to given groups of beings, liberating them by performing many miracles.",རིན་པོ་ཆེ་བརྒྱ་རྩ་བཅིག་གི་རྒྱུ་ལས་བྱུང་བར་རང་སྣང་བའི་སྐུ་གཟུགས། འགྲོ་བ་གང་གི་ཚེ་ལོའི་ལུས་བོངས་དང་མཉམ་པ་ལས། ཆོ་འཕྲུལ་དུ་མ་འབྱུང་བས་འགྲོ་བ་གྲོལ་བར་བྱེད་པ་དང་། (NK_Tib_116),,Mind to Mind,All lineages,,,,,,,,
Only Child of the Buddha,sangs rgyas sras gcig,སངས་རྒྱས་སྲས་གཅིག།,,N/A,225,,"From these jewels, a great text, The Tantra of the Teachings: The Single Child, manifested naturally, ensuring benefit for beings throughout the inherent proclamation of countless variations of teachings.",རིན་པོ་ཆེ་ལས་རང་བྱུང་བར་སྣང་བའི་ཡི་གེ་ཆེན་པོ་བསྟན་པ[117]བུ་གཅིག་གི་རྒྱུད་ལས་ཆོས་ཀྱི་རྣམ་གྲངས་བརྗོད་དུ་མེད་པར་རང་གྲགས་པས་དོན་བྱེད་པ་དང་། (NK_Tib_116-17),,Mind to Mind,All lineages,,,,,,,,
Vajra,rdo rje,རྡོ་རྗེ།,,N/A,225,,"The true nature of phenomena ensured freedom for beings in the first years of vajra time, with a rain of teachings and material objects falling to guide them in whatever way was necessary. The texts, moreover, were proclaimed in whatever languages were appropriate.",ཆོས་ཉིད་ཀྱིས་རྡོ་རྗེ་ཚེ་ལོ་དང་པོའི་མི་རྣམས་ཀྱི་ཆག་གང་བ་ལས་གང་ལ་གང་འདུལ་གྱི་ཆོས་དང་ཡོ་བྱད་ཀྱི་ཆར་འབེབ་པར་བྱེད་ཅིང་གྲོལ་བར་བྱེད་པ་དང་གསུམ་སྟེ། (NK_Tib_117),,Mind to Mind,All lineages,,,,,,,,
Sublime Wisdom Emanation (Vajradhara),ye shes dam pa'i sprul pa; rDo rje 'chang,ཡེ་ཤེས་དམ་པའི་སྤྲུལ་པ། ་རྡོ་རྗེ་འཆང།,,,150,,"Supreme Wisdom Emanation: ""In the first eon (known as the ""Age of Manifold Joy"") of this universe, Vajradhara had appeared naturally in saṃbhogakāya form atop a lotus. This emanation gave Vajrasattva and Vajrapāṇi all the teachings of the natural great perfection--teachings beyond words and letters--ensuring that understanding occurred naturally through enlightened intent. At that point, this perfect buddha, the great Vajradhara, emanated in nirmāṇakāya forms to guide beings--in as many as there were countless beings to be guided. To ensure the purification of the five mind-body aggregates that constituted their retinues, these emanations were endowed with the five aspects of excellence"" (NK_Eng_33).",ཡེ་ཤེས་དམ་པའི་སྤྲུལ་པ་ནི། འགྲོ་བ་གང་ལ་གང་འདུལ་གྱིས་གཙོ་བོ་ལ། སོགས་པར་སྣང་བས་དོན་མཛད་པ་སྟེ།དེའང་རང་སྣང་ལྷུན་གྲུབ་སྟུག་པོ་བཀོད་པའི་རྒྱལ་བ་ཐམས་ཅད་ཀྱི་སྐུ་གསུང་ཐུགས་མི་ཟད་པ་རྒྱུན་གྱི་འཁོར་ལོ་ལས་རང་བྱུང་བ། སྤྲུལ་པའི་སྐུ་རྡོ་རྗེ་འཆང་ཆེན་པོ་ལོངས་སྤྱོད་རྫོགས་པའི་ཆ་བྱད་དུ་ཞིང་འདིའི་བསྐལ་པ་དང་པོ་དགའ་ལྡན་བརྩེགས་པ་ཞེས་བྱ་བ་ལ། པདྨའི་སྟེང་དུ་རང་བྱོན་ནས་རྡོ་རྗེ་སེམས་དཔའ་དང་ཕྱག་ན་རྡོ་རྗེ་ལ་རང་བཞིན་རྫོགས་པ་ཆེན་པོའི་ཆོས་ཐམས་ཅད་ཚིག་དང་ཡི་གེ་ལས་འདས་པ་དགོངས་པས་རང་སྣང་དུ་གོ་བར་མཛད་དོ༎ དེའི་ཚེ་རྡོ་རྗེ་འཆང་ཆེན་རྫོགས་པའི་སངས་རྒྱས་དེས་གདུལ་བྱ་བསམ་གྱིས་མི་ཁྱབ་པའི་དོན་དུ་འདུལ་བྱེད་ཀྱི་སྐུ་ཡང་དེ་སྙེད་དུ་སྤྲུལ་པ་ནི། འཁོར་རྣམས་ཀྱི་ཕུང་པོ་ལྔ་དག་པར་བྱེད་པའི་དོན་དུ། ཕུན་སུམ་ཚོགས་པ་ལྔ་དང་ལྡན་པ་ཉིད་ཡིན་ནོ༎ (NK_Tib_118),,Mind to Mind,All lineages,Vajrasattva;Vajrapāṇi;Buddha 1: Cheu Nangwa Dampa Samkyi Mikhyapa,,Buddha 1: Cheu Nangwa Dampa Samkyi Mikhyapa,,,,,
Vajrasattva,rdo rje sems dpa',རྡོ་རྗེ་སེམས་དཔའ།,,,300,,"A saṃbhogakāya Buddha who receives the Dzogchen teachings from Sublime Wisdom Emanation (Vajradhara) through mind-to-mind transmission. In the Padmasambhava transmission, receives the Eighteen Tantras from Sublime Wisdom Emanation (Vajradhara), while in the Heart Essence of Vimalamitra lineage, receives only the Seventeen Tantras. ",,,Mind to Mind,All lineages,,,,,,,,
Vajrapāṇi,phyag na rdo rje,ཕྱག་ན་རྡོ་རྗེ།,,,300,,"A saṃbhogakāya Buddha, sometimes known as the wrathful form of Vajrasattva. Receives the Dzogchen teachings from Sublime Wisdom Emanation (Vajradhara) through mind-to-mind transmission. Like Vajrasattva, receives varying numbers of tantras depending on the transmission lineage.",,,Mind to Mind,All lineages,Garab Dorjé,,,,,,,
Buddha 1: Cheu Nangwa Dampa Samkyi Mikhyapa,khye'u snang ba dam pa bsam gyis mi khyab pa,ཁྱེའུ་སྣང་བ་དམ་པ་བསམ་གྱིས་མི་ཁྱབ་པ།,,,325,,"First of twelve Dzogchen teachers, who is a nirmāṇakāya emanation of Sublime Wisdom Emanation (Vajradhara). ""The great Vajradhara, in the realm of Ganden Tsekpa, in the excellent environmen atop a lotus flower, appeared first as the incredible teacher Cheu Nangwa, expounding the earliest of all tantras, the source of all teachings -- [Tantra Beyond Sound] - to a retinue of 1,002 buddhas. The compiler of the tantra was a child of the gods named Gajé Wangchuk; his companions were other children of the gods, such as Nyima Raptu Nangjé. This took place when the human life span was immeasurably long. Although the teacher and the retinue were not separate from one another, their enlightened intent to guide beings was such that they seemed to be so. And during this eon, by virtue of the same enlightened intent to guide, buddhas appear in a distinct succession, at separate times, and with individual names and teachings"" (NK_Eng_33).",དེ་ཡང་སྟོན་པ་ཕུན་སུམ་ཚོགས་པ་རྗོ་རྗེ་འཆང་ཆེན་པོ་དེས་ཡུལ་དགའ་ལྡན་བརྩེགས་པར། གནས་དྷུན་སུམ། ཚོགས་པ་མེ་ཏོག་[119]ན་དུའི་སྟེང་དུ། སྟོན་པ་ཁྱེའུ་སྣང་བ་བསམ་གྱིས་མི་ཁྱབ་པས། འཁོར་སངས་རྒྱས་སྟོངརྩ་གཉིས་ལ། བསྟན་པ་རྒྱུད་ཐམས་ཅད་ལས་ཟང་བ་བསྟན་པ་ཀུན་གྱི་རྩ་བ་སྒྲ་ཐལ་འགྱུར་ལས་གསུངས། རྒྱུད་ཀྱི་སྡུད་པ་པོ་ནི་ལྷའི་བུ་དགའ་བྱེད་དབང་ཕྱུག་གིས་མཛད། གྲོགས་ནི་ལྷའི་བུ་ཉི་མ་རབ་ཏུ་སྣང་བྱེད་ལ་སོགས་པ། དུས་ཚེ་ལོ་དཔག་ཏུ་མེད་པའི་དུས་ནའོ༎ དེའང་སྟོན་པ་དང་འཁོར་ཐ་དད་མེད་ཀྱང་འགྲོ་བ་འདུལ་བ་ལ་དགོངས་ནས་སོ་སོར་སྣང་བ་ཡིན[120]ཏེ། བསྐལ་པ་འདི་ལ་སངས་རྒྱས་ཀྱི་མཚན་ཐ་དད། དུས་ཐ་དད། ཆོས་ཐ་དད་པས་འདུལ་བར་དགོངས་ནས་རིམ་པ་ཐ་དད་པར་བྱོན་པའོ༎ དེ་ནས་སྤྲུལ་སྐུ་རིམ་གྱིས་མཆེད་ཚུལ་ནི།(NK_Tib_119-20),,Mind to Mind,All lineages,Buddha 2: Cheu Ö Mitrukpa,,,,,,,
